# Rechtschreibwörterbuch
# Quelle: WordNet
# lingo-Format: WordClass
# Zeilen: 37.319 
achimenes=achimenes #s
achira=achira #s
achlamydeous=achlamydeous #a
achlorhydria=achlorhydria #s
achlorhydric=achlorhydric #a
achmad=achmad #s
achoerodus=achoerodus #s
acholia=acholia #s
achomawi=achomawi #s
achondrite=achondrite #s
achondritic=achondritic #a
achondroplasty=achondroplasty #s
achras=achras #s
achray=achray #s
achromasia=achromasia #s
achromaticity=achromaticity #s
achromatin=achromatin #s
achromatinic=achromatinic #a
achromatism=achromatism #s
achromatous=achromatous #a
achromia=achromia #s
achromic=achromic #a
achromycin=achromycin #s
achylia=achylia #s
acicula=acicula #s
acicularis=acicularis #s
aciculate=aciculate #a
acidemia=acidemia #s
acidic=acidic #a
acidic=acidic #s
acidimetric=acidimetric #a
acidimetry=acidimetry #s
acidophilus=acidophilus #s
acidotic=acidotic #a
acidum=acidum #s
acinar=acinar #a
acinonyx=acinonyx #s
acinosa=acinosa #s
acinos=acinos #s
acinus=acinus #s
acipenser=acipenser #s
acipenseridae=acipenseridae #s
ack-ack=ack-ack #s
ackee=ackee #s
aclant=aclant #s
aclinic=aclinic #s
acned=acned #a
acneiform=acneiform #a
acnidosporidia=acnidosporidia #s
acocanthera=acocanthera #s
acokanthera=acokanthera #s
aconcagua=aconcagua #s
aconitifolia=aconitifolia #s
aconitifolius=aconitifolius #s
aconitum=aconitum #s
acoraceae=acoraceae #s
acorea=acorea #s
acores=acores #s
acorus=acorus #s
acousma=acousma #s
acousticophobia=acousticophobia #s
acquitted=acquitted #a
acragas=acragas #s
acrasiomycetes=acrasiomycetes #s
acridid=acridid #s
acrididae=acrididae #s
acrilan=acrilan #s
acris=acris #s
acritical=acritical #a
acroanaesthesia=acroanaesthesia #s
acroanesthesia=acroanesthesia #s
acrocarp=acrocarp #s
acrocarpous=acrocarpous #a
acrocarpous=acrocarpous #s
acrocarpus=acrocarpus #s
acrocentric=acrocentric #a
acrocentric=acrocentric #s
acrocephalus=acrocephalus #s
acrocephaly=acrocephaly #s
acroclinium=acroclinium #s
acrocomia=acrocomia #s
acrocyanosis=acrocyanosis #s
acrodont=acrodont #s
acrogen=acrogen #s
acrogenic=acrogenic #a
acromial=acromial #s
acromicria=acromicria #s
acromikria=acromikria #s
acromion=acromion #s
acromphalus=acromphalus #s
acromyotonia=acromyotonia #s
acronymic=acronymic #a
acropetal=acropetal #a
acrophony=acrophony #s
acropora=acropora #s
acroscopic=acroscopic #a
acrosome=acrosome #s
acrostichoides=acrostichoides #s
actaea=actaea #s
acth=acth #s
actias=actias #s
actifed=actifed #s
actinal=actinal #a
actinia=actinia #s
actinian=actinian #s
actiniaria=actiniaria #s
actiniarian=actiniarian #s
actinidia=actinidia #s
actinidiaceae=actinidiaceae #s
actiniopteris=actiniopteris #s
actinoid=actinoid #a
actinoid=actinoid #s
actinolite=actinolite #s
actinomeris=actinomeris #s
actinometric=actinometric #a
actinometry=actinometry #s
actinomorphic=actinomorphic #a
actinomyces=actinomyces #s
actinomycetaceae=actinomycetaceae #s
actinomycetal=actinomycetal #a
actinomycetales=actinomycetales #s
actinomycosis=actinomycosis #s
actinomycotic=actinomycotic #a
actinomyxidia=actinomyxidia #s
actinomyxidian=actinomyxidian #s
actinon=actinon #s
actinophylla=actinophylla #s
actinopoda=actinopoda #s
actinopod=actinopod #s
actinotherapy=actinotherapy #s
actinozoa=actinozoa #s
actinozoan=actinozoan #s
actitis=actitis #s
actium=actium #s
activase=activase #s
actomyosin=actomyosin #s
actualisation=actualisation #s
actualization=actualization #s
actus=actus #s
acular=acular #s
aculea=aculea #s
aculeata=aculeata #s
aculeate=aculeate #a
aculeatum=aculeatum #s
aculeatus=aculeatus #s
aculeus=aculeus #s
acuminata=acuminata #s
acuminatum=acuminatum #s
acuminatus=acuminatus #s
acuta=acuta #s
acutangula=acutangula #s
acutiflora=acutiflora #s
acutifolia=acutifolia #s
acutifolius=acutifolius #s
acutoconica=acutoconica #s
acutorostrata=acutorostrata #s
acutus=acutus #s
ada=ada #s
adactylia=adactylia #s
adactylism=adactylism #s
adactylous=adactylous #a
adactyly=adactyly #s
adad=adad #s
adair=adair #s
adalia=adalia #s
adam=adam #s
adamance=adamance #s
adamanteus=adamanteus #s
adamantine=adamantine #a
adams=adams #s
adana=adana #s
adansonia=adansonia #s
adansonii=adansonii #s
adapa=adapa #s
adapid=adapid #s
adapin=adapin #s
adaptational=adaptational #a
adar=adar #s
ada-scid=ada-scid #s
adaxial=adaxial #a
adaxially=adaxially #a
addable=addable #a
addax=addax #s
ad-din=ad-din #s
add-in=add-in #s
addington=addington #s
addis=addis #s
addison=addison #s
addressograph=addressograph #s
ade=ade #s
adelaide=adelaide #s
adelges=adelges #s
adelgid=adelgid #s
adelgidae=adelgidae #s
adeliae=adeliae #s
adelie=adelie #s
adeline=adeline #s
aden-abyan=aden-abyan #s
aden=aden #s
adenanthera=adenanthera #s
adenauer=adenauer #s
adenium=adenium #s
adenocarcinoma=adenocarcinoma #s
adenocarcinomatous=adenocarcinomatous #a
adenohypophysis=adenohypophysis #s
adenoidea=adenoidea #s
adenoma=adenoma #s
adenomatous=adenomatous #s
adenomegaly=adenomegaly #s
adenomyosarcoma=adenomyosarcoma #s
adenomyosis=adenomyosis #s
adenopathy=adenopathy #s
adenosine=adenosine #s
adenosis=adenosis #s
adenota=adenota #s
adenovirus=adenovirus #s
adenylic=adenylic #s
ader=ader #s
adermin=adermin #s
adesite=adesite #s
adh=adh #s
adhd=adhd #s
adi=adi #s
adiantaceae=adiantaceae #s
adiantifolia=adiantifolia #s
adiantiformis=adiantiformis #s
adiantum=adiantum #s
adiantum-nigrum=adiantum-nigrum #s
adience=adience #s
